bridge spider	# a large  often found on bridges and near water ().
barcode	File:UPC A.svg|thumb|A UPC-A barcode symbol# Any set of machine-readable parallel bars or concentric circles, varying in width, spacing, or height, encoding information according to a symbology# en A portion of a gene that identifies a particular species
benzylideneacetophenone	# en The parent member of the chalcone series.
brigader	# A member of a brigade
braccio	# An Italian measure of length, varying from half a yard to a yard.
bag of waters	# amniotic sac
blatherskite	# A voluble purveyor of nonsense; a blusterer.|lang=en|year=1922|author=Sinclair Lewis|authorlink=Sinclair Lewis|title=s:en:Babbitt|Babbitt|chapter=s:en:Babbitt/Chapter_32|chapter 32|passage=Babbitt was frightened, but he had an agonized instinct that if he yielded in this he would yield in everything. He protested: “You're exaggerating, Colonel. I believe in being broad-minded and liberal, but, of course, I'm just as much agin the cranks and '''blatherskites''' and labor unions and so on as you are. ”}}
bauriamorph	# Any therocephalian therapsid of the superfamily 
Bravanese	# Belonging or relating to a Somali ethnic group from the port town of Brava (Barawa).
baozi	Image:Nangua_Baozi_(chinese_dumplings).jpg|thumb|baozi# A Chinese steamed stuffed bun.
bencher	# en A senior member of a law society in a Canadian province (except New Brunswick).# en One of the senior governing members of an Inn of Court.# en An alderman of a corporation.#: # en A member of a court or council.|lang=en|year=c. 1605–1608|first=William|last=Shakespeare|authorlink=William Shakespeare|title=|section=act 2, scene 1|lines=76–78|passage=Come, come, you are well understood to be a perfecter / giber for the table than a necessary '''bencher''' in the / Capitol.}}lb|en|obsolete}}Webster 1913}}
bell housing	# A cover over certain parts of the transmission in a motor vehicle.
beturbaned	# wearing a turban#: ''The '''beturbaned''' mystic was especially mysterious-looking in his starred headwear.''
bespeared	# equipped|Equipped or furnished with a spear.
bondieuserie	# Any devotional ornament or church object, especially one having little artistic value; a religious knick-knack.
bicentennial	# The 200th anniversary of an event or happening.#: ''The US '''bicentennial''' in 1976 was celebrated greatly because the economy happened to be good.''Category:English words suffixed with -ennialCategory:en:Calendar terms
buckle under	# en to reluctantly accept something, due to the pressure.Category:English phrasal verbsCategory:English phrasal verbs with particle (under)
bromhydrate	# hydrobromate
bobwhite	# Any one of four species of quail in the genus ''Colinus'', of the bird family Odontophoridae, limited to the Americas.
breachable	# That can be breached; vulnerable.
black-bellied sandgrouse	# ''Pterocles orientalis'', a bird in the sandgrouse family.
Blackophobe	# en Afrophobe
butenafine	# A synthetic benzylamine antifungal drug.|passage=Get a fungicidal cream that contains terbinafine or '''butenafine''' at the drugstore; make sure that it’s not a fungistatic one containing, for example, clotrimazole, which “slows growth but won’t clear it,” she said.}}
Balzacian	# A follower of Balzac, or an author who writes in his style.
beadledom	# beadle|Beadles collectively, and their characteristics as a class.# stupid|Stupid or senseless officiousness.
barocycle	# To apply such a fluctuation
becomse	# en To begin; commence.
biozone	# en A biostratigraphic unit: an interval of geological strata defined on the basis of its characteristic fossil taxa.# en An ecozone.
beebrush	# Any of the genus  of flowering plants in the verbena family.Category:en:Lamiales order plants
broth cube	# en A bouillon cube.
bastard file	# A file of intermediate cut, neither very rough nor very smooth.
bayplan	# A map of a storage bay in a ship, used to determine where various containers will be placed.
bedrunken	# drunken, drunk.
bloody well	# damn well|Damn well.
B.Acy.	# bachelor|'''B'''achelor of accountancy|'''Acc'''ountancy.
bethatch	# en To cover; cover over; bedeck.# en To cover with thatch; thatch.
bare noun	# en A noun used without any apparent quantifier or determiner to modify it.#: ''In "on sale", "sale" is a '''bare noun'''.''
bridgework	# en A partial denture that is anchored to existing tooth|teeth.
buddy bench	# en A bench in a school playground where children who are lonely or suffering bullying etc. can go to find friends.
beauty queen	# en The female winner of a beauty contest.
baza	# Any of three species of small, crested hawks in the genus ''Aviceda''.
bedance	# en To dance around; dance about; dance for; dance in celebration of.
baze	# en To stupefy; frighten; alarm.
boneshaker	# A velocipede (the bicycle of the late 1860s).# Something jolty.#: ''The car was a real '''boneshaker'''.''#: ''a '''boneshaker''' of a journey''
biorbital	# en Relating to both orbits of the eyes
bridelock	# en marriage|Marriage; marriage ceremony; nuptials.
brownie point	# en credit|Credit or praise for good work or a good deed, often for the express purpose of curry favor|currying favor.#: ''You're really going to get some '''brownie points''' from the teacher for that fantastic essay!''
byfall	# A falling about; an incidental accessory or accretion; a happenstance; occurrence; instance.# A fall of water, usually lesser in size, near to or beside a larger, more predominant waterfall.
braingasm	# en An overpowering mental sensation of joy, excitement, etc. resembling an orgasm.
bedsheet	# A sheet, a piece of cloth cut and finished as bedlinen.
bleeding time	# en The time it takes for bleeding to stop in a bleeding time test.
benzylphenethylamine	# en Any benzyl derivative of phenethylamine, but especially ''N-benzylphenethylamine''
biomagnetic	# Relating to biomagnetism.
bog Irish	# en People of low-class Irish ancestry.
bicartesian closed category	# en A cartesian closed category which also has an initial object and such that for any pair of objects, ''A'' and ''B'', in the category, the category has another object which is their coproduct, <math>A \coprod B</math>.
biofluorescence	# The emission of previously absorbed light by fluorescent proteins in a living organism.|passage=The finding that '''biofluorescence''' is phylogenetically widespread and phenotypically variable in marine fishes highlights many interesting new questions as to the role of '''biofluorescence''' in groups with advanced visual capability. }}
becloak	# en To cover or surround, as with a cloak.
belly dance	# A traditional form of dance from the Middle East, characterized by movements of the abdominal muscles.
Barnabite	# en A member of a Roman Catholic religious order associated with the church of St. Barnabas in Milan.
back boiler	# a boiler that supplies a central heating and hot water system and is fitted into a fireplace recess, normally behind a gas fire# a similar boiler, that just supplies hot water, fitted behind an open fire or in a range.
bacampicillin	# en An antibiotic which is converted to ampicillin in the body
branglement	# en squabble; brangle
butlerly	# Befitting a butler.
bioregion	# An eco-region.
bunraku	# A traditional form of Japanese puppet theatre.
bend of the arm	# 
bandito	# A bandit, particularly of the type associated with Mexico|passage=But I was at an age when a stinking twist of additive-soaked tobacco wrapped in brown paper could transform me into a kind of pale, stubble-free Irish '''bandito'''.}}
biogeographically	# In a biogeographic manner# With regard to biogeography
bostin	# en great!
bootscan	# en An antivirus scan that takes place before the operating system has loaded.
broodsome	# Characterised or marked by brooding
bandolierwise	# In the manner of a bandolier, looped over the shoulder on one side and under the arm on the other.
bewile	# en To delude; deceive; beguile.
ballet	# To perform an action reminiscent of ballet dancing.
baller	# en Very cool, especially due to extravagance.|lang=en|date=2015-12-11|author=Viputheshwar Sitaraman|title=Q&A: Mahbod Moghadam — Cofounder, Everipedia|work=HuffPost|url=https://www.huffingtonpost.com/vip-sitaraman/qa-mahbod-moghadam-cofoun_b_8529940.html|passage=The most '''baller''' Los Angeles investor, Paige Craig, doesn’t have a Wikipedia page, but you can find out everything about him on his Everipedia page. Are you going to be pitching him?}}
